mussel ID,area,N fish atraction,total fish,% attracted fish,proportion 
R1,spurt,5,10,50,0.5
R1,spurt,6,12,50,0.5
R1,spurt,8,25,32,0.32
R1,spurt,12,18,67,0.667
R1,spurt,5,10,50,0.5
R1,spurt,4,5,80,0.8
R1,spurt,12,22,55,0.545
R1,spurt,5,5,100,1
R1,spurt,6,6,100,1
R1,spurt,5,10,50,0.5
R1,spurt,4,4,100,1
M8,spurt,3,3,100,1
M8,spurt,4,4,100,1
M8,spurt,2,4,50,0.5
M8,spurt,4,4,100,1
M8,spurt,4,8,50,0.5
M8,spurt,1,1,100,1
T1,spurt,0,3,0,0
T1,spurt,2,6,33,0.333
T1,spurt,3,3,100,1
M8,spurt,1,1,100,1
M8,spurt,1,1,100,1
M8,spurt,1,1,100,1
M8,spurt,0,4,0,0
M8,spurt,0,7,0,0
R2,spurt,2,2,100,1
R2,spurt,3,5,60,0.6
R2,spurt,1,1,100,1
M8,spurt,2,2,100,1
M8,spurt,4,5,80,0.8
M8,spurt,1,4,25,0.25
M8,spurt,1,4,25,0.25
M8,spurt,5,11,45,0.455
R1,control ,2,10,20,0.2
R1,control ,2,6,33.33333333,0.333333333
R1,control ,5,7,71.42857143,0.714285714
R1,control ,0,3,0,0
R1,control ,0,3,0,0
R1,control ,2,10,20,0.2
R1,control ,1,8,12.5,0.125
R1,control ,5,10,50,0.5
R1,control ,0,3,0,0
R1,control ,1,6,16.66666667,0.166666667
R1,control ,2,8,25,0.25
M8,control ,0,4,0,0
M8,control ,3,5,60,0.6
M8,control ,1,4,25,0.25
M8,control ,0,2,0,0
M8,control ,1,5,20,0.2
M8,control ,0,3,0,0
T1,control ,0,2,0,0
T1,control ,0,5,0,0
T1,control ,1,4,25,0.25
M8,control ,0,5,0,0
M8,control ,0,5,0,0
M8,control ,1,6,16.66666667,0.166666667
M8,control ,0,2,0,0
M8,control ,0,4,0,0
R2,control ,0,20,0,0
R2,control ,0,18,0,0
R2,control ,0,7,0,0
M8,control ,0,5,0,0
M8,control ,0,10,0,0
M8,control ,0,25,0,0
M8,control ,0,9,0,0
M8,control ,1,3,33.33333333,0.333333333
